What school do you belong to?,What year are you?,Do you use the same password (or slight variations) for multiple accounts? ,How frequently do you use your browser’s/phone's suggested passwords? ,Do you currently use a password manager? ,How often do you change your passwords? ,"When you change a password, do you create a completely new one or modify the old one? ",How confident are you in your password security? ,Column 11
Sciences,Graduate,Often,Rarely,"No, but I’ve considered it",Only if I suspect a breach,Modify,Somewhat confident,
HASS,Post Doc,Always,Never,"No, and I don’t plan to",Never,Modify,Not confident,
Engineering,Sophmore,Always,Rarely,Yes,Only if I suspect a breach,Completely new,Somewhat confident,
Management,Senior,Never,Never,Yes,Never,Completely new,Very confident,
Sciences,Senior,Often,Never,Yes,Never,Modify,Somewhat confident,
Sciences,Sophmore,Never,Rarely,Yes,Never,Completely new,Very confident,
Engineering,Senior,Often,Rarely,"No, but I’ve considered it",Only if I suspect a breach,Completely new,Not confident,
Sciences,Junior,Sometimes,Rarely,Yes,Only when prompted,Completely new,Very confident,
Sciences,Sophmore,Often,Rarely,Yes,Only if I suspect a breach,Completely new,Somewhat confident,
Sciences,Sophmore,Often,Never,"No, and I don’t plan to",Never,Completely new,Somewhat confident,
Sciences,Sophmore,Often,Rarely,Yes,Only when prompted,Modify,Somewhat confident,
Engineering,Junior,Often,Never,Yes,Only when prompted,Modify,Somewhat confident,
Engineering,Junior,Always,Never,"No, and I don’t plan to",Only if I suspect a breach,Modify,Somewhat confident,
Engineering,Sophmore,Always,Never,"No, and I don’t plan to",Never,Modify,Somewhat confident,
Engineering,Junior,Often,Never,Yes,Only when prompted,Modify,Very confident,
Sciences,Junior,Always,Never,"No, and I don’t plan to",Never,Modify,Very confident,
Engineering,Freshman,Often,Rarely,"No, and I don’t plan to",Only if I suspect a breach,Modify,Somewhat confident,
Engineering,Freshman,Always,Sometimes,"No, but I’ve considered it",Only if I suspect a breach,Modify,Not confident,
Sciences,Sophmore,Always,Never,Yes,Only when prompted,Modify,Somewhat confident,
Engineering,Junior,Often,Sometimes,Yes,Only when prompted,Modify,Very confident,
Engineering,Senior,Always,Never,Yes,Only when prompted,Modify,Somewhat confident,
Engineering,Freshman,Sometimes,Always,Yes,Only when prompted,Completely new,Somewhat confident,
HASS,Junior,Rarely,Often,Yes,Only when prompted,Completely new,Somewhat confident,
Engineering,Freshman,Often,Never,"No, but I’ve considered it",Every 3 to 6 months,Completely new,Not confident,
Engineering,Freshman,Often,Rarely,"No, but I’ve considered it",Only if I suspect a breach,Modify,Not confident,
Engineering,Freshman,Always,Never,"No, but I’ve considered it",Only when prompted,Completely new,Somewhat confident,
Engineering,Freshman,Often,Rarely,"No, and I don’t plan to",Never,Modify,Somewhat confident,
Sciences,Freshman,Rarely,Often,Yes,Only if I suspect a breach,Completely new,Somewhat confident,
Sciences,Junior,Often,Never,Yes,Every 6 months to a year,Modify,Somewhat confident,
Management,Senior,Often,Never,"No, but I’ve considered it",Never,Modify,Somewhat confident,
Engineering,Freshman,Rarely,Never,Yes,Only if I suspect a breach,Completely new,Very confident,
Engineering,Freshman,Rarely,Sometimes,Yes,Every 6 months to a year,Completely new,Not confident,
Engineering,Freshman,Often,Rarely,Yes,Only if I suspect a breach,Modify,Somewhat confident,
Sciences,Freshman,Often,Often,Yes,Only if I suspect a breach,Completely new,Somewhat confident,
Sciences,Freshman,Often,Never,"No, but I’ve considered it",Never,Completely new,Very confident,
Engineering,Junior,Often,Never,"No, and I don’t plan to",Only when prompted,Modify,Somewhat confident,
Engineering,Freshman,Always,Often,"No, but I’ve considered it",Only if I suspect a breach,Modify,Somewhat confident,
Sciences,Freshman,Sometimes,Never,Yes,Only if I suspect a breach,Completely new,Very confident,
HASS,Junior,Always,Often,Yes,Never,Completely new,Somewhat confident,
Engineering,Junior,Always,Sometimes,"No, but I’ve considered it",Only if I suspect a breach,Modify,Very confident,
Sciences,Senior,Often,Rarely,"No, but I’ve considered it",Only if I suspect a breach,Modify,Not confident,
Engineering,Freshman,Rarely,Rarely,"No, and I don’t plan to",Only when prompted,Completely new,Somewhat confident,
Engineering,Freshman,Often,Rarely,"No, but I’ve considered it",Only when prompted,Completely new,Not confident,
Engineering,Freshman,Often,Never,"No, but I’ve considered it",Only when prompted,Completely new,Somewhat confident,
Sciences,Freshman,Sometimes,Often,Yes,Only when prompted,Completely new,Very confident,
Engineering,Freshman,Sometimes,Often,Yes,Only if I suspect a breach,Modify,Somewhat confident,
Engineering,Sophmore,Always,Sometimes,"No, but I’ve considered it",Never,Modify,Not confident,
Engineering,Sophmore,Often,Rarely,"No, but I’ve considered it",Every 6 months to a year,Modify,Very confident,
Sciences,Senior,Sometimes,Never,"No, and I don’t plan to",Only if I suspect a breach,Completely new,Somewhat confident,
Sciences,Sophmore,Often,Rarely,Yes,Never,Modify,Not confident,
Sciences,Freshman,Sometimes,Rarely,"No, and I don’t plan to",Only if I suspect a breach,Completely new,Somewhat confident,
Engineering,Freshman,Rarely,Never,Yes,Only when prompted,Completely new,Very confident,
Sciences,Junior,Often,Never,Yes,Only if I suspect a breach,Completely new,Somewhat confident,
Engineering,Junior,Often,Rarely,"No, and I don’t plan to",Only if I suspect a breach,Modify,Somewhat confident,
Sciences,Freshman,Sometimes,Rarely,Yes,Only if I suspect a breach,Completely new,Not confident,
Engineering,Sophmore,Often,Never,"No, and I don’t plan to",Only if I suspect a breach,Modify,Somewhat confident,
Engineering,Freshman,Always,Rarely,Yes,Never,Modify,Somewhat confident,
Engineering,Freshman,Often,Never,"No, but I’ve considered it",Only if I suspect a breach,Modify,Somewhat confident,
Sciences,Junior,Often,Often,Yes,Only when prompted,Modify,Somewhat confident,
Sciences,Junior,Often,Rarely,"No, but I’ve considered it",Only when prompted,Completely new,Somewhat confident,
Sciences,Freshman,Rarely,Often,Yes,Only if I suspect a breach,Completely new,Somewhat confident,
HASS,Senior,Always,Never,"No, but I’ve considered it",Only if I suspect a breach,Completely new,Somewhat confident,
Engineering,Freshman,Sometimes,Often,Yes,Only when prompted,Completely new,Somewhat confident,
Management,Senior,Often,Sometimes,Yes,Only if I suspect a breach,Completely new,Not confident,
Management,Junior,Often,Never,Yes,Only if I suspect a breach,Modify,Not confident,
Engineering,Freshman,Always,Never,"No, and I don’t plan to",Only when prompted,Modify,Somewhat confident,
Sciences,Freshman,Rarely,Often,Yes,Every 3 to 6 months,Completely new,Somewhat confident,
Engineering,Freshman,Often,Rarely,"No, but I’ve considered it",Only if I suspect a breach,Completely new,Very confident,
Engineering,Freshman,Often,Rarely,Yes,Only if I suspect a breach,Completely new,Somewhat confident,
Engineering,Junior,Often,Rarely,Yes,Never,Modify,Somewhat confident,
Engineering,Freshman,Often,Never,Yes,Only when prompted,Modify,Somewhat confident,
HASS,Junior,Often,Never,Yes,Only if I suspect a breach,Modify,Somewhat confident,
